box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,2048;1024;512,0.05,0.05,25,-2,0.9999,0.01,0,10,1.00E-08,FALSE,log,CrossEntropy,9.67397125,0.836817048,1.99688595,0.978107016,1.964360671,0.711764706,0.259616006,0.686146487,0.259211377
work,RectifierWithDropout,35;17,0.01,0.1,15,-2,0.999,1.00E-05,1.00E-05,10,1.00E-06,FALSE,sqrt,CrossEntropy,0.111048609,0.672099496,0.642484766,0.634081665,0.669850658,0.737815126,0.756092831,0.761523046,0.753522948
work,RectifierWithDropout,100;50,0,0.7,50,-2,0.999,0.001,0.01,10,1.00E-06,FALSE,log,CrossEntropy,0.275727196,0.879565087,0.810862678,0.819666418,0.883847434,0.70885585,0.715301571,0.714267244,0.701745314
work,RectifierWithDropout,2048;1024;512,0,0.05,25,-2,0.99,0,1.00E-05,10,1.00E-06,FALSE,sqrt,CrossEntropy,10.81782225,0.803310454,0.665610389,0.640169222,0.709204476,0.798319328,0.792358911,0.794880083,0.792954105
work,RectifierWithDropout,100;50,0,0.7,25,-2,0.98,1.00E-04,0.01,7,1.00E-09,FALSE,sqrt,CrossEntropy,0.203373796,0.725671462,0.733082834,0.744097546,0.740917635,0.732579186,0.729329627,0.728747818,0.721202327
work,RectifierWithDropout,250;125,0.05,0.3,50,-2,0.99,1.00E-05,1.00E-05,5,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,1.005413488,0.527652378,0.525724368,0.528658345,0.550839024,0.805042017,0.801021398,0.797724481,0.796444732
work,RectifierWithDropout,72;72;72,0,0.2,5,-2,0.98,0.001,0.001,30,1.00E-09,FALSE,log,CrossEntropy,0.145111954,0.622681574,0.632154062,0.618973574,0.631452857,0.764447317,0.762040209,0.763462409,0.754751131
work,RectifierWithDropout,36;36,0,0.05,35,-2,0.999,0.001,0.001,30,1.00E-06,FALSE,log,CrossEntropy,0.185665367,0.665587316,0.682424203,0.67519612,0.669933197,0.746994182,0.753054496,0.752601978,0.746800259
work,RectifierWithDropout,35;17,0.1,0.1,5,-2,0.9999,0.001,1.00E-05,10,1.00E-07,FALSE,raw,CrossEntropy,0.074122634,0.737309367,0.828357461,0.74803429,0.770379973,0.721654816,0.716659125,0.727778137,0.712992889
work,RectifierWithDropout,100;20,0,0.7,15,-2,0.99,0.01,0.01,30,1.00E-07,FALSE,raw,CrossEntropy,0.131056917,1.090264851,1.057099827,1.16704794,1.214304856,0.672656755,0.654599522,0.641411856,0.648674855
work,RectifierWithDropout,50;100,0,0.1,5,-2,0.99,0,1.00E-04,2,1.00E-06,FALSE,log,CrossEntropy,0.103176858,0.629944311,0.664985734,0.624558047,0.630778366,0.755914674,0.746977827,0.759131166,0.760116354
work,RectifierWithDropout,1024;512;256;128,0.2,0.1,50,-2,0.95,0,0.01,3,1.00E-07,FALSE,log,CrossEntropy,8.751252855,0.64454726,0.679259583,0.641094239,0.684209982,0.763089851,0.756868576,0.760230138,0.754104719
work,RectifierWithDropout,200;100;50,0.3,0.7,10,-2,0.9999,1.00E-04,0.01,7,1.00E-09,FALSE,sqrtPlus3Over8,CrossEntropy,0.162250308,0.794444086,0.831971106,0.810619841,0.823922609,0.725727214,0.715689443,0.720279268,0.717582418
